TransactionID,UserID,Amount,Location,Time,Device,Merchant,tx_count_5m,tx_count_1h,avg_amount_24h,amount_zscore,tod_sin,tod_cos,missing_location,fraud_score,prediction
TXN1004038,User1,29.7,Aswan,2025-09-09 10:34:02,Web,LocalStore,0,0,29.7,0.0,0.3663658990984625,-0.9304708635834736,0,0.13777124739835,NORMAL
TXN1004964,User1,82.79,Luxor,2025-09-09 12:14:22,Web,Souq,0,0,56.245000000000005,0.7071067811865474,-0.06264536176207339,-0.9980358503829905,0,0.11438370155035704,NORMAL
TXN1006153,User1,87.41,Aswan,2025-09-09 17:05:25,Web,LocalStore,0,0,66.63333333333334,0.6478837232976472,-0.9717725894285837,-0.23591955076946328,0,0.1444457029747363,NORMAL
TXN1006181,User1,24.26,Luxor,2025-09-09 19:14:06,Web,Noon,0,0,56.04,-0.9435345465521207,-0.948185114662219,0.31771841044074645,0,0.13906075880810076,NORMAL
TXN1007183,User1,112.44,Aswan,2025-09-09 19:36:06,Web,eBay,0,1,67.32000000000001,1.1700578897013585,-0.9133678983448978,0.4071352137472567,0,0.05806964778068763,NORMAL
TXN1007071,User1,81.1,Aswan,2025-09-10 05:16:28,Web,Souq,0,0,69.61666666666667,0.32859422898219853,0.9820136767856618,0.18880979478275448,0,0.10762257422599947,NORMAL
TXN1003742,User1,50.75,Luxor,2025-09-10 11:44:29,Web,LocalStore,0,0,73.125,-0.4947021058601994,0.0676525179361531,-0.9977089439395131,0,0.13194096371880176,NORMAL
TXN1004747,User1,46.05,Luxor,2025-09-10 12:48:22,Web,eBay,0,0,67.00166666666668,-0.5862579731879631,-0.20947634788008715,-0.9778137142006246,0,0.13820226527866358,NORMAL
TXN1006609,User1,17.0,Luxor,2025-09-10 15:36:32,Web,AliExpress,0,0,59.85857142857144,-1.2692904253110455,-0.8103826409505942,-0.5859009944060005,0,0.12355923964294879,NORMAL
TXN1001469,User1,41.5,Luxor,2025-09-10 15:53:09,Web,eBay,0,1,57.56375,-0.49798795113697764,-0.8506964490466936,-0.5256572567551467,0,0.11574541821382911,NORMAL
TXN1002552,User1,26.43,Luxor,2025-09-10 17:37:33,Web,Noon,0,0,49.94125,-0.8907460445658243,-0.9952060870111631,-0.09780002237182356,0,0.1531397735058984,NORMAL
TXN1009748,User1,52.46,Luxor,2025-09-11 00:44:18,Windows,Souq,0,0,45.04142857142857,-0.06204519026787436,0.19209377851495296,0.9813765741324011,0,0.129666562701298,NORMAL
TXN1000566,User1,86.09,Luxor,2025-09-11 04:12:49,Web,Noon,0,0,50.1725,0.9746449499348255,0.8926186048319126,0.45081262882480333,0,0.08346024808021313,NORMAL
